문장,범죄유형
 처분의 경위,False
" 원고들과 소외 H(이하 H은 '피해학생'이라 한다), I은 모두 G고등학교 2학년 7반에 재학 중인 학생이다",False
" 피해학생은 같은 반 다른 학생들과 잘 어울리지 못하였는데 유독 1과는 친하게 지냈고, 1과 가깝게 지내던 원고들 역시 피해학생과 어울려 지내게 되었다",False
" 그러던 중  내지 6월경부터 같은 해  원고 A는 피해학생의 머리를 치고, 멱살을 잡고, 앉은 자리에서 의자를 뒤로 밀어 피해학생을 힘들게 하고, 피해학생의 몸과 머리에 분필을 던지는 등의 행위를 하였고, 원고 D은 교복 와이셔츠로 피해학생의 머리를 때리고, 팔이나 배를 툭툭 치거나 욕을 하는 등의 행위(이하 원고들의 행위를 합하여 '이 사건 행위'라 한다)를 하였다",False
 피해학생과 그 부모는 원고들을 학교폭력으로 신고하여  G고등학교 학교폭력대책자치위원회(이하 '자치위원회'라 한다)가 개최되었으나 위 자치위원회는 원고들의 행위가 학교폭력에 해당하지 아니한다고 판단하며 원고들에 대하여 아무런 조치를 하지 아니하였다,False
" 이에 피해학생과 그 부모는 학교폭력예방 및 대책에 관한 법률(이하 '학교폭력 예방법'이라 한다) 제17조의2 제1항에 따라 강원도학교폭력대책지역위원회(이하 '지역위원회'라 한다)에 재심을 청구하였고, 지역위원회는  청구취지와 같이 위 자치위원회의 처분을 접촉·협박·보복금지, 학교에서의 봉사 20시간, 특별교육이수 4시간, 보호자 특별교육이수 6시간으로 변경하는 재심결정을 하였다",False
 피고는 그 무렵 원고들에게 위 재심 결정과 같은 내용의 처분을 통지(이하 '이 사건 처분'이라 한다)하였다,False
"[인정근거] 다툼 없는 사실, 갑 제1 내지 증의 각 기재, 을 제1 내지 5호증의 각 기재, 변론 전체의 취지",False
 이 사건 처분의 적법여부에 관한 판단,False
 원고들의 주장 요지,False
